Writing this to a file.
0	0	0	0
1	0	0.166667	0
2	0	0.333333	0
3	0	0.5	0
4	0	0.666667	0
5	0	0.833333	0
6	0	1	0
0	1	0	0.166667
1	1	0.166667	0.166667
2	1	0.333333	0.166667
3	1	0.5	0.166667
4	1	0.666667	0.166667
5	1	0.833333	0.166667
6	1	1	0.166667
0	2	0	0.333333
1	2	0.166667	0.333333
2	2	0.333333	0.333333
3	2	0.5	0.333333
4	2	0.666667	0.333333
5	2	0.833333	0.333333
6	2	1	0.333333
0	3	0	0.5
1	3	0.166667	0.5
2	3	0.333333	0.5
3	3	0.5	0.5
4	3	0.666667	0.5
5	3	0.833333	0.5
6	3	1	0.5
0	4	0	0.666667
1	4	0.166667	0.666667
2	4	0.333333	0.666667
3	4	0.5	0.666667
4	4	0.666667	0.666667
5	4	0.833333	0.666667
6	4	1	0.666667
0	5	0	0.833333
1	5	0.166667	0.833333
2	5	0.333333	0.833333
3	5	0.5	0.833333
4	5	0.666667	0.833333
5	5	0.833333	0.833333
6	5	1	0.833333
0	6	0	1
1	6	0.166667	1
2	6	0.333333	1
3	6	0.5	1
4	6	0.666667	1
5	6	0.833333	1
6	6	1	1
